,price,Style,Screen Size,Bluetooth,SpO2,Heart Rate monitor,Alarm clock,Distance tracker,sleep monitor,Activity tracker,Notifications,gps,bp monitor,Target Audience,Black,Blue,Gold,Green,Grey,Pink,Red,Rose Gold,Rose Golden,Silver,Round,Square
57,4999,0,1.6,1,1,1,1,1,1,0,1,0,1,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
58,1999,0,1.28,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,1,0,0,0,0,0,0,0
59,1299,0,1.69,0,0,0,1,0,0,0,0,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,1,0,0,0,0,0,0,0
60,1999,0,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
61,1799,0,1.83,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
62,4999,0,1.6,1,1,1,1,1,1,0,1,0,1,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
63,1799,0,1.3,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
64,1799,0,1.83,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,1,0,0,0,0,0,0,0
65,1799,0,1.83,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
66,1449,0,1.69,0,0,0,1,0,0,0,0,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
67,1299,0,1.69,0,0,0,1,0,0,0,0,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
68,1799,0,1.83,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,0,1,0,0,0,0,0,0
69,1299,0,1.69,0,0,0,1,0,0,0,0,0,0,"Unisex Teen, Unisex Adult",0,0,0,1,0,0,0,0,0,0,0,0
70,1999,0,1.28,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
71,2999,0,1.96,1,1,1,1,0,1,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
72,1799,0,1.3,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,1,0,0,0,0,0,0,0
73,3799,0,1.78,1,1,1,1,1,1,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,0,0,0,0,0,1,0,0
74,1799,0,1.83,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,1,0,0,0,0,0,0,0,0,0,0
75,1799,0,1.3,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,0,0,0,1,0,0,0,0
76,4999,0,1.6,1,1,1,1,1,1,0,1,0,1,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
77,11472,0,1.78,1,1,1,1,1,1,1,1,1,1,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
78,3799,0,1.78,1,1,1,1,1,1,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
79,2499,1,1.7,1,1,1,1,0,1,0,1,0,0,"Unisex Teen, Unisex Adult",1,0,0,0,0,0,0,0,0,0,0,0
80,1999,0,1.69,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,0,0,0,0,1,0,0,0
81,1799,0,1.83,1,0,0,1,0,0,0,1,0,0,"Unisex Teen, Unisex Adult",0,0,0,0,1,0,0,0,0,0,0,0
