,price,Style,Colour,Screen Size,Special Feature,Target Audience,Shape
246,2999.0,With Alexa,4,186,317,,419
247,2299.0,With Alexa,3,186,12,,419
248,2499.0,Modern,10,13,317,,419
249,2799.0,BT Calling+AMOLED,9,27,317,,419
250,1499.0,Modern,10,186,317,,419
251,1799.0,Boat Watch,2,186,317,,419
252,1799.0,Modern,2,186,317,,419
253,1499.0,Modern,2,35,317,,419
254,1499.0,Boat Watch,9,186,317,,419
255,1999.0,Modern,2,186,1,,419
256,2599.0,With Alexa,9,186,12,,419
257,1449.0,Modern,5,186,1,,419
258,1999.0,Minimalist,9,186,1,,419
259,1899.0,Blaze,10,7,317,,419
260,3499.0,BT Calling+AMOLED,1,27,317,,419
261,11472.78459409594,Modern,142,186,2,,419
262,1999.0,Minimalist,2,5,317,,419
263,3803.0,DC Edition,2,186,317,,419
264,1899.0,Modern,10,186,317,,419
265,1449.0,Modern,5,186,8,,419
266,1999.0,Minimalist,9,186,8,,419
267,1899.0,Blaze,10,7,1,,419
268,1499.0,Modern,10,186,1,,419
269,11472.78459409594,Modern,142,186,317,,419
270,1999.0,Minimalist,2,5,317,,419
271,3803.0,DC Edition,2,186,317,,419
272,1499.0,Modern,10,186,317,,419
273,1499.0,Boat Watch,10,186,317,,419
274,2299.0,With Alexa,2,186,12,,419
275,2699.0,Modern,2,2,12,,419
276,1499.0,Modern,2,35,2,,419
277,1499.0,Modern,9,186,317,,419
278,1799.0,Modern,2,186,317,,419
279,2999.0,With Alexa,4,186,317,,419
280,2299.0,With Alexa,3,186,12,,419
281,1999.0,Modern,4,186,12,,419
282,1799.0,Boat Watch,2,186,12,,419
283,1799.0,Modern,2,186,12,,419
284,1499.0,Modern,2,35,12,,419
285,1499.0,Boat Watch,9,186,12,,419
286,1999.0,Modern,2,186,317,,419
287,1449.0,Modern,5,186,1,,419
288,1899.0,Strap,142,6,317,,419
289,3999.0,Classic,142,5,317,,419
290,1499.0,Casual,1,5,317,,419
291,4999.0,Classic,142,8,317,,419
292,2999.0,Ignite S3 Max,142,13,317,,419
293,5499.0,Modern,142,9,317,,419
294,2999.0,Casual,2,35,317,,419
295,3999.0,Classic,24,5,317,,419
296,3999.0,Casual,5,35,317,,419
297,3999.0,Classic,30,5,317,,419
298,3499.0,Classic,142,7,317,,419
299,3999.0,Classic,142,5,317,,419
300,4999.0,With 150 Songs Storage+TWS Connectivity,1,27,317,,419
301,3999.0,Modern,24,186,317,,419
302,5499.0,Modern,24,9,317,,419
303,2999.0,Classic,1,35,317,,419
304,1499.0,Casual,3,5,317,,419
305,3999.0,Classic,14,5,317,,419
306,4999.0,Classic,14,8,317,,419
307,3999.0,Casual,142,35,317,,419
308,419.0,Modern,142,186,317,,419
309,3999.0,Classic,24,5,317,,419
310,3499.0,Casual,1,35,317,,419
311,4999.0,Classic,24,8,317,,419
312,3499.0,Modern,142,186,317,,419
313,15700.0,LTE,142,9,6,,419
314,11999.0,Modern,14,186,2,,419
315,19150.0,Bluetooth Aluminium,142,9,317,,419
316,30999.0,BT,4,186,5,,7
317,15999.0,Bluetooth,1,186,1,,419
318,17500.0,BT,142,1,317,,419
319,15600.0,BT,14,2,6,,419
320,11472.78459409594,Bluetooth,142,1,317,,419
321,29999.0,BT,14,186,5,,7
322,1234.0,Bluetooth,142,9,6,,419
323,11472.78459409594,BT,142,9,6,,419
324,7999.0,Modern,1,1,1,,419
325,16390.0,BT,142,186,1,,7
326,28999.0,LTE,14,186,6,,7
327,30999.0,BT,1,186,5,,7
328,599.0,BT,14,1,317,,419
329,11472.78459409594,Watch5 BT,4,186,5,,419
330,11472.78459409594,LTE,1,186,5,,7
331,20100.0,LTE,14,186,6,,7
332,1099.0,Zeb- Fit 280ch,24,2,317,,419
333,1099.0,Zeb- Fit 280ch,1,2,317,,419
334,2199.0,Modern,2,9,317,,419
