,price,Style,Colour,Screen Size,Special Feature,Target Audience,Shape
101,1799.0,Modern,Navy Blue,1.83 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
102,399.0,Modern,Rose Gold,1.3 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
103,2499.0,Strap,Black,1.7 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
104,1999.0,Modern,Rose Golden,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
105,3799.0,Modern,Dark Grey,1.78 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
106,1399.0,Modern,Black,1.83 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
107,2998.0,Modern,Black,1.8 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
108,1449.0,Modern,Rose Gold,1.3 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
109,1449.0,Modern,Pink,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
110,1529.0,Modern,Silver Grey,1.3 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
111,1449.0,Modern,Pink,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
112,4999.0,Modern,Black,1.6 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
113,1799.0,Modern,Black,1.3 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
114,1299.0,Modern,Black,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
115,1799.0,Modern,Black,1.83 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
116,1449.0,Modern,Black,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
117,1799.0,Modern,Pink,1.83 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
118,1299.0,Modern,Green,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
119,1999.0,Modern,Black,1.28 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
120,2999.0,Modern,Black,1.96 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
121,1529.0,Modern,Silver Grey,1.3 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
122,1449.0,Modern,Grey,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
123,1799.0,Modern,Navy Blue,1.83 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
124,11472.784594095941,Modern,Black,1.78 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
125,3799.0,Modern,Black,1.78 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
126,2499.0,Strap,Black,1.7 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
127,1999.0,Modern,Rose Golden,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
128,1799.0,Modern,Grey,1.83 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
129,3799.0,Modern,Dark Grey,1.78 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
130,1399.0,Modern,Black,1.83 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
131,2998.0,Modern,Black,1.8 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
132,1999.0,Modern,Silver Grey,1.28 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
133,1299.0,Modern,Grey,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
134,1999.0,Modern,Black,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
135,1799.0,Modern,Gold Black,1.83 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
136,2999.0,Modern,Navy,1.8 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
